threshold,Overall_Avg_IoU,Class_n02085620-Chihuahua,Class_n02085782-Japanese_spaniel,Class_n02085936-Maltese_dog,Class_n02086079-Pekinese,Class_n02086240-Shih-Tzu,Class_n02086646-Blenheim_spaniel,Class_n02086910-papillon,Class_n02087046-toy_terrier,Class_n02087394-Rhodesian_ridgeback,Class_n02088094-Afghan_hound,Class_n02088238-basset,Class_n02088364-beagle,Class_n02088466-bloodhound,Class_n02088632-bluetick,Class_n02089078-black-and-tan_coonhound,Class_n02089867-Walker_hound,Class_n02089973-English_foxhound,Class_n02090379-redbone,Class_n02090622-borzoi,Class_n02090721-Irish_wolfhound,Class_n02091032-Italian_greyhound,Class_n02091134-whippet,Class_n02091244-Ibizan_hound,Class_n02091467-Norwegian_elkhound,Class_n02091635-otterhound,Class_n02091831-Saluki,Class_n02092002-Scottish_deerhound,Class_n02092339-Weimaraner,Class_n02093256-Staffordshire_bullterrier,Class_n02093428-American_Staffordshire_terrier,Class_n02093647-Bedlington_terrier,Class_n02093754-Border_terrier,Class_n02093859-Kerry_blue_terrier,Class_n02093991-Irish_terrier,Class_n02094114-Norfolk_terrier,Class_n02094258-Norwich_terrier,Class_n02094433-Yorkshire_terrier,Class_n02095314-wire-haired_fox_terrier,Class_n02095570-Lakeland_terrier,Class_n02095889-Sealyham_terrier,Class_n02096051-Airedale,Class_n02096177-cairn,Class_n02096294-Australian_terrier,Class_n02096437-Dandie_Dinmont,Class_n02096585-Boston_bull,Class_n02097047-miniature_schnauzer,Class_n02097130-giant_schnauzer,Class_n02097209-standard_schnauzer,Class_n02097298-Scotch_terrier,Class_n02097474-Tibetan_terrier,Class_n02097658-silky_terrier,Class_n02098105-soft-coated_wheaten_terrier,Class_n02098286-West_Highland_white_terrier,Class_n02098413-Lhasa,Class_n02099267-flat-coated_retriever,Class_n02099429-curly-coated_retriever,Class_n02099601-golden_retriever,Class_n02099712-Labrador_retriever,Class_n02099849-Chesapeake_Bay_retriever,Class_n02100236-German_short-haired_pointer,Class_n02100583-vizsla,Class_n02100735-English_setter,Class_n02100877-Irish_setter,Class_n02101006-Gordon_setter,Class_n02101388-Brittany_spaniel,Class_n02101556-clumber,Class_n02102040-English_springer,Class_n02102177-Welsh_springer_spaniel,Class_n02102318-cocker_spaniel,Class_n02102480-Sussex_spaniel,Class_n02102973-Irish_water_spaniel,Class_n02104029-kuvasz,Class_n02104365-schipperke,Class_n02105056-groenendael,Class_n02105162-malinois,Class_n02105251-briard,Class_n02105412-kelpie,Class_n02105505-komondor,Class_n02105641-Old_English_sheepdog,Class_n02105855-Shetland_sheepdog,Class_n02106030-collie,Class_n02106166-Border_collie,Class_n02106382-Bouvier_des_Flandres,Class_n02106550-Rottweiler,Class_n02106662-German_shepherd,Class_n02107142-Doberman,Class_n02107312-miniature_pinscher,Class_n02107574-Greater_Swiss_Mountain_dog,Class_n02107683-Bernese_mountain_dog,Class_n02107908-Appenzeller,Class_n02108000-EntleBucher,Class_n02108089-boxer,Class_n02108422-bull_mastiff,Class_n02108551-Tibetan_mastiff,Class_n02108915-French_bulldog,Class_n02109047-Great_Dane,Class_n02109525-Saint_Bernard,Class_n02109961-Eskimo_dog,Class_n02110063-malamute,Class_n02110185-Siberian_husky,Class_n02110627-affenpinscher,Class_n02110806-basenji,Class_n02110958-pug,Class_n02111129-Leonberg,Class_n02111277-Newfoundland,Class_n02111500-Great_Pyrenees,Class_n02111889-Samoyed,Class_n02112018-Pomeranian,Class_n02112137-chow,Class_n02112350-keeshond,Class_n02112706-Brabancon_griffon,Class_n02113023-Pembroke,Class_n02113186-Cardigan,Class_n02113624-toy_poodle,Class_n02113712-miniature_poodle,Class_n02113799-standard_poodle,Class_n02113978-Mexican_hairless,Class_n02115641-dingo,Class_n02115913-dhole,Class_n02116738-African_hunting_dog
0.0,0.5452651957672601,0.3777670050605785,0.59055915581158,0.6184658966290746,0.539679836277376,0.4767080664539355,0.5134718994873149,0.679156289073408,0.6077859934889076,0.46005509233139436,0.4576583990609627,0.5685870412342363,0.5186260954776957,0.4951732077637613,0.5354715902746728,0.6872232059890959,0.6080898261993803,0.8254530452478759,0.5088703123910601,0.5352629456858772,0.5164020670275192,0.47925370592252375,0.4069114908089964,0.5508625467789047,0.42259272160910094,0.6464779813787213,0.43844923415121445,0.5453647251423667,0.6314275249771717,0.5741570390489112,0.6613870594684725,0.6706227446696476,0.42097975671320553,0.45161239346466403,0.5301162524893349,0.6314467532120464,0.5243639203038704,0.6336058475598507,0.6762971812920378,0.5531004633729062,0.6910955135223196,0.6469387682154333,0.44548969796955334,0.6489832926057669,0.5449059957522684,0.5407271677596137,0.5766509981623026,0.6054823909743515,0.3681950699082971,0.7145816185681217,0.679419482572434,0.5019747417957342,0.35632218238602353,0.4012889027255107,0.6228808426788223,0.5638257888049599,0.5723736447257273,0.5247890552152754,0.4940757317816019,0.41525618123818886,0.38924542416884866,0.43732535219061763,0.5654776727348769,0.46131427124636853,0.5618518708928589,0.48221336543984805,0.48079800935696443,0.6335363888797565,0.36295889065843895,0.5251595425645172,0.43955341108308293,0.6658848752470843,0.6429500313144391,0.6155364845477419,0.6163320280907472,0.5381570564216005,0.6088642351881457,0.3794539651304777,0.5051929993662485,0.5975263423347015,0.5462101248951561,0.6136736048516972,0.6570038562488592,0.5402974604494307,0.5723927529535617,0.5629834685343116,0.5558238435019722,0.4749872389390939,0.6167129071535511,0.46010564146845734,0.46334552962898135,0.5923396775924787,0.5151316125565965,0.5401765231101158,0.6625100089439098,0.5614733135796633,0.5408447382685793,0.7352090591424483,0.506678142708967,0.2595616801113327,0.3793130131883035,0.7237804260650912,0.6483991894528883,0.4651459692311756,0.42286140247068926,0.5349702589555926,0.3397696102594002,0.4662295691271649,0.6860549256899913,0.7765912598934219,0.5062733256820277,0.6607456426780638,0.5037374051336678,0.45982652684451014,0.7655406212382989,0.442048089353362,0.6506319629704325,0.5700505524147783,0.5654868471438552,0.35451766782605576,0.5383024442639478
0.01,0.551048512246761,0.3887350743831098,0.598427731068109,0.6184658966290746,0.5560438643145271,0.47931189501677396,0.5211966038053476,0.6816778491703657,0.6077859934889076,0.46180410549980255,0.46395351264976126,0.5669421312135218,0.5188410418569231,0.5080591949044705,0.5500419924454304,0.6960166301760423,0.6080898261993803,0.8254530452478759,0.5161244527625908,0.5352629456858772,0.5164020670275192,0.47925370592252375,0.4069114908089964,0.5630551245206071,0.4428785885639302,0.6482165684906938,0.4480874420793926,0.5530666048205781,0.6357519089175377,0.5772918766835964,0.6687296426202709,0.6706227446696476,0.4383554340645038,0.45698116602658756,0.535655508712537,0.6337193537713077,0.5294764773131538,0.6336058475598507,0.6805191994310554,0.5532981479244442,0.6953081073154831,0.651258982543877,0.4468958833472282,0.6513827574507424,0.5515552789948374,0.5436724550331772,0.5914996280401684,0.6136428865853183,0.38134087149776297,0.7198940981738121,0.684487973886502,0.5019747417957342,0.35632218238602353,0.4012889027255107,0.6353195148962698,0.56971924576235,0.5723736447257273,0.5309773618688723,0.4940757317816019,0.4239772343434212,0.40279640240259473,0.4404198761687016,0.5654776727348769,0.4773057440978753,0.5745561857526379,0.4909528288834741,0.47885719543338273,0.6451906254695445,0.3800198972961029,0.5297177685482534,0.4484504141015326,0.6661426125412946,0.646873724640332,0.6254816425834517,0.6174457890743067,0.5448285906245786,0.6165928788376047,0.3811341855224746,0.5051929993662485,0.6015163998684425,0.546504171915063,0.6273611848696035,0.6630458094957631,0.5434780472000508,0.5862413394021017,0.5779169553496716,0.5721884520144866,0.4751958887786151,0.6206546587852244,0.46673967673928446,0.4728366204168892,0.5923396775924787,0.5282960392845265,0.5479005418596803,0.6651660682467965,0.5657639207394282,0.5419918293281749,0.7379086053765346,0.508327354628032,0.2706513836441261,0.4007347532303488,0.727337471437572,0.6571584781189849,0.4660302559067001,0.42313215716441926,0.5364866588311258,0.3466980575162762,0.4676090592055025,0.6860549256899913,0.7890105225679044,0.5062733256820277,0.6668899766916706,0.513754041230577,0.47286310371055607,0.7743761414175204,0.4453642263033708,0.6627161526890297,0.5700505524147783,0.5799196684976777,0.35451766782605576,0.5383024442639478
0.02,0.5595158242483592,0.4055266714058563,0.614964463820348,0.6210241569860099,0.5667870006090908,0.4884377647157071,0.5245906173037922,0.6915543306585207,0.6153188358053319,0.4651646171013345,0.4688429684644156,0.5684475260384205,0.5274245709044492,0.5119526903113724,0.5544105446430411,0.7044366023027511,0.6135540720321904,0.830573278338076,0.5258658033481124,0.5464151707124544,0.5389693473442485,0.48985776340597303,0.42880778989648427,0.5766575077568235,0.46691677146259297,0.6546778504460907,0.45072367492162685,0.5623427764553628,0.6557020372756347,0.5869531353607356,0.6789965306970684,0.6706227446696476,0.4499418080234263,0.46499791921822664,0.53925560528841,0.640242826547657,0.5332547119265586,0.6411242965263733,0.6807892323893723,0.5737270432117276,0.7008326722368027,0.6601304841252553,0.4585952774165943,0.6543171726484459,0.5562762965107046,0.5622560299142657,0.6170753129908013,0.6192895101379865,0.3975246221637721,0.727691167727502,0.6854721969284749,0.5119638854519908,0.37166881839609556,0.424690220729193,0.6384575484070307,0.5836035072633885,0.5901269594760103,0.5374121838747048,0.4999862668467324,0.4389347499816356,0.41463211433024255,0.4441512405924649,0.5783063383128525,0.4826061284141878,0.5779492349903477,0.49945946285703513,0.4950765202095854,0.6552801858378237,0.3877457095707143,0.5339102331138941,0.4606970449465373,0.6789518557730887,0.6475027816667508,0.6324615745436135,0.6180215178288853,0.5516135129727553,0.6109425518277719,0.38636718525355745,0.5225039605471758,0.6060781755393982,0.5521560183560346,0.6306640415657565,0.6622592637579264,0.5478099048093592,0.5959820106039228,0.5891764079943415,0.5796428698751196,0.47886947092981796,0.6466200171904187,0.48360439437299724,0.48350812886437355,0.6086338227256858,0.533275367023643,0.5635352732988468,0.6714461111967018,0.5710132951067488,0.5525405241680841,0.7318478910440903,0.5112471521756665,0.27818015705672483,0.405641222170339,0.7541915276184351,0.6584685017745708,0.4824838951718268,0.42807222111635496,0.5374120464759296,0.35496235682625854,0.4616686081497293,0.6956420241310636,0.7789385793950099,0.5062733256820277,0.6774751759182547,0.5253712637618603,0.47958657106086566,0.7861944936039246,0.4494821578721588,0.6723640539555225,0.5822797515033843,0.5857636468547112,0.35889764969929105,0.5383024442639478
0.03,0.5657653939082661,0.4180538463766762,0.6150148724739822,0.626224007803455,0.6033743910270407,0.5032176269892014,0.5332367217876872,0.6968425596646701,0.6214808631690619,0.46392126853587684,0.47480869738330345,0.569960472910027,0.5321499731119526,0.5154822613683009,0.5659071970216761,0.7092213545135635,0.616971193412058,0.8311979690854642,0.5469357871449118,0.541513913709111,0.5416490740825942,0.49176057091220926,0.43982358169057817,0.5833622788933981,0.4856392318730012,0.6627756413598375,0.4534770309911235,0.5726092694271657,0.649275818056246,0.5920603891571389,0.6770228461254129,0.6726864236171872,0.45238539745906436,0.4742623514609031,0.5397445747950218,0.644078787543539,0.5341640757600044,0.6451944343127611,0.6827100257734543,0.5747453052073155,0.7008049247712694,0.6609908314545881,0.46813283065650724,0.6546726637223054,0.5639560339429561,0.5687605384833601,0.6271213291215526,0.626702033856453,0.3991872472294438,0.7306608171526994,0.6909098115766587,0.5192153090577788,0.3787492295637337,0.4406944077784134,0.642600665524813,0.598650579338979,0.5907717422592925,0.5386969177569303,0.5166119142143997,0.4480088323042425,0.4200313541211744,0.4512111177887882,0.5788286920005457,0.4909078122935256,0.5891521435070863,0.5009162578234088,0.5216205538982225,0.6593236864579548,0.4024201684161614,0.5361283656080469,0.46540532207179597,0.6807687309157326,0.6588206830114977,0.6443221195518292,0.6223931047502248,0.5582920894283208,0.6066674234235295,0.3924465729152444,0.5360048113953415,0.6113379834010025,0.5589878265871964,0.6342825873487057,0.6623808058168128,0.5509392784435365,0.598799284317305,0.5956825587126409,0.5855521500702242,0.48483192384547913,0.6491049780679792,0.48819187861608704,0.4890476756702813,0.6076472066360781,0.5349332106972381,0.5670964525859197,0.6724983198833682,0.5949522465757295,0.5620456166581089,0.7344965332939533,0.5131827946874065,0.28474350875861465,0.4098379666717422,0.7565444183160354,0.6585547897282156,0.49171159348459187,0.43537993536791664,0.5471535717681457,0.37806419013135656,0.4712978175982451,0.7000571100814199,0.785114088160222,0.5203886207213231,0.6903137559100878,0.5332793739894439,0.4913885563619778,0.7879422570535494,0.46175610531597044,0.6775350924298065,0.5830753720575083,0.5960254042775626,0.3593391309529473,0.5398515428094104
0.04,0.5706738479402031,0.433233281915782,0.6164625602600229,0.6391527301280163,0.6083351262414447,0.5219260642020551,0.5316761915983563,0.6957080498542826,0.6209078085654112,0.4650583451342422,0.48142415799794963,0.5711352000016745,0.536919332855841,0.520603531639975,0.5679240484080206,0.7056859240749963,0.6175111773679235,0.8318350299466621,0.5606688342651058,0.5449326538311619,0.5427842780266314,0.49841242909138617,0.4590185117627989,0.5811039810802974,0.4921678314101898,0.66444519240378,0.4561934022819122,0.5745900795860396,0.647394316979325,0.5933661959757538,0.6856486559060391,0.6797748550277409,0.4619861213825033,0.48041386250219187,0.5403860672954377,0.65674919128972,0.547260073164511,0.6761191680256926,0.6832093784747469,0.5750944957299896,0.7004781622119534,0.6618595582298912,0.46626973266960475,0.6552159340973975,0.5650350636168737,0.5724727993231601,0.6205534169572708,0.6321492552528027,0.400788497220378,0.743292339692411,0.6915011124107353,0.5211501762775267,0.3995798213213596,0.44778761148137614,0.6471201050406147,0.6071582375851696,0.5914260402294728,0.5341612856223359,0.5280666861742885,0.4504877217157297,0.4258318535553771,0.4637209874725753,0.5825089459386187,0.49357912101148604,0.5928507429292267,0.5101563340554817,0.5366606850049828,0.6668026927341109,0.4074346430956169,0.5346465208017428,0.46793678724605814,0.6815937488395074,0.6760259584807541,0.6569237933620963,0.6246596061602506,0.5585737019031681,0.6199572675597137,0.40824963263396397,0.5431268882474918,0.618760626173186,0.560709135922336,0.6343661064449803,0.6622134340233756,0.5544882291919431,0.6014047848942735,0.6044283860518839,0.5909383782773918,0.5049953369284663,0.642721251292708,0.49278752080148863,0.49178669763041827,0.6079186561665688,0.5395179756741303,0.5699632161367538,0.6787770445015064,0.60241113084816,0.5710451599449886,0.7244881745529944,0.519566595204036,0.2970789837813462,0.4132777099605821,0.7559231246911522,0.6586977599568463,0.4973329892178319,0.4349263800203021,0.5503845079865376,0.38690487555023384,0.4732542484833176,0.7027484677256641,0.7864138912569965,0.5345438935707286,0.6929219219938128,0.538210722650956,0.49232625110346084,0.7894822421863104,0.46555445395292805,0.6824455741330753,0.5934737140593749,0.6016187130925764,0.36399790688653477,0.5410439760540277
0.05,0.57398836048451,0.4373228713954799,0.615299075346168,0.6427263402324794,0.6074881814960116,0.5373690200191277,0.5256872387634115,0.6897732226036857,0.6256406904375932,0.46954993433033554,0.483010981473755,0.5723566660207486,0.5502833374665868,0.5221525757412165,0.5689051526568082,0.7055893332823702,0.6209613945246261,0.8328146310699112,0.5623286030693355,0.5450498966048041,0.5516924062424569,0.5050054029531628,0.46768162727724916,0.5821159908766335,0.4954062923815862,0.6685918163199205,0.45523284974302386,0.5815966292130145,0.6521173353606521,0.5999505959216122,0.6886496041797454,0.680244826162518,0.4654466829637517,0.49093182709388383,0.5440957500701404,0.664521735325589,0.5533369156648756,0.6738658287285888,0.6837158335618214,0.5799352312654362,0.7001516035457648,0.6621035512592202,0.468422552282445,0.6555864854288461,0.5572574368682361,0.5596183881426072,0.6359556568700145,0.6371316727360352,0.40854402920638055,0.7457382532708343,0.6983093777535619,0.5301477980127962,0.4137477460345654,0.46095261144944893,0.643708792989382,0.6016405551457807,0.5969176280978309,0.5414353075705346,0.515134772916898,0.4533637522307611,0.43620576222662677,0.47214144759841326,0.5835779677224305,0.49586745705033763,0.5980182366406537,0.5125591220767227,0.5369068661763929,0.6724656458683613,0.4099725925257317,0.539951785832838,0.4752048390241866,0.6822235135258843,0.6856528551407338,0.6597352894771241,0.6310891625137087,0.5610137085222693,0.623115038465957,0.4135023960358747,0.5529071930527725,0.6273923980865476,0.5620072600695158,0.6304756977282682,0.65832903296248,0.5559572828863161,0.6065342269768117,0.6103431298921113,0.5932329263875034,0.5137078391255506,0.6421289843067601,0.49322031797240423,0.49366600604018496,0.6084941625983481,0.5392146718286477,0.5727458823447561,0.6802394988087491,0.6057092453275336,0.5856809890223948,0.7235641643346662,0.5198089902863849,0.30394183149407594,0.41647550513303633,0.7608198550731043,0.6586163203879285,0.4998575380763671,0.4357947837641406,0.5562814162724241,0.39379798849053865,0.4713854876068272,0.687578408507238,0.778773875848421,0.5351650557644403,0.6955997859097944,0.5436371776157123,0.4972595483444254,0.8090181638264184,0.47967443941166943,0.6864008523146904,0.5949982438636583,0.6080926085439466,0.374284066311506,0.5422744194658229
0.06,0.5772863460996672,0.4490261045006049,0.6135070969272818,0.666011554591502,0.601454199169192,0.5399916932802266,0.5289481580641839,0.694475707686746,0.6312792875188864,0.47123523824096425,0.48828755104983007,0.5759158778645085,0.5515887287396597,0.5271721172683661,0.571382807729028,0.7061812857271457,0.6219932653592275,0.8334842738005246,0.5643094326597989,0.5453764038837426,0.5533724736721717,0.5055941736214242,0.4732894897939004,0.5836354458650856,0.49791194090399965,0.674269714227995,0.4538048151758097,0.5838527982933006,0.6550984604923303,0.601340808082697,0.6889292189429849,0.6688555118901338,0.470737307725608,0.4926112811215462,0.5447483367482528,0.666825360398245,0.5553111422064612,0.6798220936296038,0.6841125215064151,0.5955861524048152,0.7004118156457488,0.6657461865898544,0.4689343564748237,0.6618768253372133,0.5519572722310551,0.5656428055910779,0.6444502287046523,0.6384040711895913,0.4101875170907058,0.75330762686026,0.7044780708085454,0.5351367805938236,0.4296686137136686,0.46575814198112886,0.6437038638569811,0.6093560444269206,0.5979289834544749,0.5443665506308282,0.5212461640078266,0.4536588344727878,0.4381870158253884,0.475487569693655,0.5844502335804046,0.4974764188239974,0.608470673711906,0.5144522552902074,0.5400989961293543,0.677666868221861,0.4037818896991953,0.5485877746436939,0.4815430729304343,0.6830928494489286,0.6954589537027605,0.662040111311974,0.6318367807432848,0.5670134068862412,0.6189946536885478,0.41696253601801914,0.562175721344441,0.6389190920269003,0.5636276144793297,0.6299326409763724,0.6534733285789469,0.5690645406648782,0.6079685655671856,0.621599146031385,0.5913183194272232,0.5212632239870386,0.6419506684572702,0.4943148913258617,0.4986477914004116,0.6143273023232625,0.5411979516097165,0.5754362878173322,0.6851823579500046,0.6048799404522659,0.5903398375907161,0.7218910394628919,0.5246575640061988,0.3070481364946728,0.4192484479099675,0.7605806506328212,0.6553853544741679,0.4979968995671108,0.43929676771895004,0.5583495912729053,0.40027853719348594,0.47736057950781874,0.6908031456127252,0.7785045085105964,0.5380091441507391,0.701804178414267,0.5447806595826667,0.49962190968879205,0.810859894753564,0.48788471198054795,0.6909201835795818,0.6026550833733346,0.6108996104303602,0.3834866223634979,0.543266444491852
0.07,0.5801236049325645,0.45883624140048207,0.6115059092189782,0.6653170481757286,0.6000770777496219,0.5412389330341434,0.5254278858711771,0.6930944702614884,0.6322693371165672,0.47182308648289223,0.4912490488782719,0.5801089850188678,0.5623758927919589,0.532469739854466,0.5678986944021583,0.7067855917370682,0.6203348164070763,0.834167652792279,0.5714864477047003,0.545220387618545,0.5575551813471555,0.5134579877870158,0.4778794406871964,0.5910404797204778,0.5025431236154279,0.6759063919970911,0.44908333815347606,0.5866021950274094,0.6538606561839841,0.6023919601969903,0.6926188249745692,0.6733348986614672,0.4714063297766288,0.49414512536385724,0.5489560018854488,0.6677655086894421,0.5576047530931951,0.6827601836427125,0.6843477664915343,0.6038920673478163,0.7000898353953213,0.674135476736754,0.47932351282620295,0.6685888574483095,0.5509173087429138,0.5662499069673543,0.6399551953205986,0.6435898555789271,0.41196603684804395,0.7495832113040709,0.7053865684426104,0.5380746223371516,0.43656994879853234,0.47275842091988823,0.639213319909177,0.6160411381308201,0.5987223486352848,0.5499748347670433,0.5224991812641677,0.4503033969141003,0.4403531523469438,0.4748487659139521,0.5912483965243724,0.4998130677858262,0.6086363179244125,0.5239612252776261,0.5390930034282536,0.6848036678220261,0.4048463408930155,0.5528850632556912,0.4956951637585563,0.6838156713737462,0.6993555431807061,0.6737650217827187,0.6327699246872914,0.5653039820081945,0.6230945516261885,0.42401988701390936,0.568630922179219,0.6414575908910835,0.5692375094138128,0.6296408628732941,0.6503464135694121,0.5743330037437577,0.6114809007704314,0.6210480704828648,0.5908372843672435,0.5205938281872686,0.6390766843344364,0.49534094043260735,0.5076292564803649,0.6200582674804687,0.54182577120576,0.5782361819777503,0.6898573050332861,0.6217551196044999,0.5946117116458111,0.7208772148776245,0.5303866673159833,0.3154501390094113,0.4215519694270748,0.7606826554821617,0.6493035292657456,0.4912178921075875,0.449487944348771,0.5594181408883515,0.4182264459456994,0.4733843249606589,0.6908193463630041,0.7680141273085717,0.5385006654610198,0.7093407612342258,0.545991402208448,0.5115778963178703,0.8137887978904004,0.4893323256289894,0.6939011454070754,0.6070112007658424,0.6204831019917851,0.39244787422866245,0.546548213749338
0.08,0.5827397821142328,0.4539175967182351,0.6101329825675095,0.6533116813594091,0.5979676714708715,0.5416357993443242,0.530239375618826,0.7022959099167021,0.6379602963594233,0.4731203425914958,0.4950997970177771,0.5811352292149071,0.5873679976716333,0.5340415893165087,0.568434664212186,0.7071280588806732,0.6337677978566536,0.8341939757840544,0.5734635147597302,0.5409031811595797,0.5604587093806354,0.5208879888891049,0.48114102720568486,0.5980786228887541,0.5050211789407412,0.677340224085273,0.4513322137383023,0.594316582993743,0.6481585537723633,0.609318149785699,0.6922113906649003,0.6782862322838753,0.4699043108002634,0.4949823088692472,0.5501590107847146,0.6779357593939139,0.5580672914601733,0.6796314566899114,0.6907836294929688,0.6055871242732532,0.7000736631732206,0.6812354283540778,0.49292486510979694,0.6693185106498044,0.5486753738287293,0.5664751907632176,0.640980862164527,0.6466067555687406,0.417562196216357,0.7545448530019849,0.7066226327660019,0.5446576514444772,0.44350288186538245,0.47326951144755586,0.6427000471814831,0.6178243964528913,0.5984612512217332,0.5504943598075924,0.5250195231101893,0.4599726543003725,0.44652308561765003,0.4828372184419223,0.611061653887271,0.5017162732985814,0.6085646044049768,0.534710376895975,0.5371816113813271,0.688047268907398,0.4125775112322751,0.5496328474208144,0.5085260881776702,0.6847281400560045,0.7084719216514149,0.6765511638810787,0.6336245046669162,0.5663388443289807,0.615073438492696,0.42699260741686695,0.5728495786268946,0.6494275058199771,0.5709057104538672,0.632465529272174,0.6489679296678822,0.5832995675011622,0.6068558728689141,0.6226203850143215,0.5926732013258318,0.5235396544369786,0.6369150141763192,0.4998789293599334,0.5144992902551233,0.6234384357785485,0.5450097944640342,0.5831614235145735,0.6908624024437604,0.6203601293935395,0.6025064860437298,0.7127146602212788,0.5327494359702728,0.31684189454909967,0.4225624310228276,0.7611885240435491,0.6535460172716527,0.4907013118814187,0.4507226484994148,0.5611819666584711,0.42549173904594745,0.474011993569792,0.6882674499458777,0.7625506286451305,0.5449610575832459,0.7032369602495652,0.5475033406165843,0.5141173028845482,0.8145659930731093,0.49547631747840104,0.6885258757617306,0.6094484266256438,0.6101080099873556,0.4068983228253882,0.5473637080780802
0.09,0.5847305884670561,0.4515738096054339,0.6129489278643664,0.659717882842816,0.6065108530990994,0.5428793280892211,0.5277210149967154,0.7002656362599312,0.6458818839955819,0.4739694431748848,0.4963159358072189,0.5765057224002393,0.6079899951052503,0.5387461300957875,0.577983282961596,0.7140227702445747,0.6382382435147397,0.835318915410576,0.5764109714819879,0.540500746587527,0.5595469619130335,0.5323560768274151,0.49075513319881087,0.5946617545541769,0.5090079822662024,0.6782685827757395,0.45496492935683114,0.596423557236337,0.6410252719725378,0.6211206155737491,0.6914262466335498,0.678847188782097,0.4688159420802932,0.4995512474571086,0.5530221551681551,0.6792557195927963,0.5656743077596433,0.6811944273103449,0.6884391445166008,0.6076556885952463,0.6997536508259229,0.6836108647367792,0.5029240844226004,0.670470289276932,0.5476635763003062,0.5553011386244767,0.6364602927103058,0.6509475793001225,0.4197581035684942,0.7514240307657147,0.7025151990917122,0.546169695980543,0.4517964419330959,0.47481485536573115,0.6455056050465358,0.6177128505295266,0.6034793650222702,0.5527984719026475,0.5197308433457988,0.46630437747918096,0.4490642417111649,0.48769612578077914,0.6114950384236584,0.5043922600372217,0.607660733218596,0.5410574253337138,0.5320584130363946,0.6835117059043008,0.41585197329105233,0.5528255632636585,0.5124453216963306,0.6857366792385242,0.7109314099411211,0.6792593481091408,0.6348775640944575,0.5754450482729344,0.6121176263095504,0.42757393655726156,0.5739322886462724,0.646223863989483,0.5727144264651727,0.631330938270137,0.6409173449980796,0.5851136066192206,0.6084150137574115,0.628014951059878,0.5963060419102024,0.5245582438165522,0.6309984680269958,0.5058211645236841,0.5202176772963086,0.6245853650735744,0.5505316585802179,0.5845746046980871,0.6983003348528711,0.6190841054852763,0.6057188147225452,0.7124713969744513,0.5318109497232124,0.31893914391465805,0.4243277199397082,0.7666292053725601,0.6523944012307286,0.4894856352213705,0.4568871734150993,0.561904132718947,0.4310584027618094,0.47431223953570123,0.684767900204897,0.7654386256591315,0.5498202558120262,0.7007590030770118,0.550326615752888,0.5144332033166442,0.8146177393929814,0.5012317046044976,0.6938125463966436,0.6085327887421053,0.6089344586340335,0.42091029318298545,0.5478500101138893
