threshold,Overall_Avg_IoU,Class_n02085620-Chihuahua,Class_n02085782-Japanese_spaniel,Class_n02085936-Maltese_dog,Class_n02086079-Pekinese,Class_n02086240-Shih-Tzu,Class_n02086646-Blenheim_spaniel,Class_n02086910-papillon,Class_n02087046-toy_terrier,Class_n02087394-Rhodesian_ridgeback,Class_n02088094-Afghan_hound,Class_n02088238-basset,Class_n02088364-beagle,Class_n02088466-bloodhound,Class_n02088632-bluetick,Class_n02089078-black-and-tan_coonhound,Class_n02089867-Walker_hound,Class_n02089973-English_foxhound,Class_n02090379-redbone,Class_n02090622-borzoi,Class_n02090721-Irish_wolfhound,Class_n02091032-Italian_greyhound,Class_n02091134-whippet,Class_n02091244-Ibizan_hound,Class_n02091467-Norwegian_elkhound,Class_n02091635-otterhound,Class_n02091831-Saluki,Class_n02092002-Scottish_deerhound,Class_n02092339-Weimaraner,Class_n02093256-Staffordshire_bullterrier,Class_n02093428-American_Staffordshire_terrier,Class_n02093647-Bedlington_terrier,Class_n02093754-Border_terrier,Class_n02093859-Kerry_blue_terrier,Class_n02093991-Irish_terrier,Class_n02094114-Norfolk_terrier,Class_n02094258-Norwich_terrier,Class_n02094433-Yorkshire_terrier,Class_n02095314-wire-haired_fox_terrier,Class_n02095570-Lakeland_terrier,Class_n02095889-Sealyham_terrier,Class_n02096051-Airedale,Class_n02096177-cairn,Class_n02096294-Australian_terrier,Class_n02096437-Dandie_Dinmont,Class_n02096585-Boston_bull,Class_n02097047-miniature_schnauzer,Class_n02097130-giant_schnauzer,Class_n02097209-standard_schnauzer,Class_n02097298-Scotch_terrier,Class_n02097474-Tibetan_terrier,Class_n02097658-silky_terrier,Class_n02098105-soft-coated_wheaten_terrier,Class_n02098286-West_Highland_white_terrier,Class_n02098413-Lhasa,Class_n02099267-flat-coated_retriever,Class_n02099429-curly-coated_retriever,Class_n02099601-golden_retriever,Class_n02099712-Labrador_retriever,Class_n02099849-Chesapeake_Bay_retriever,Class_n02100236-German_short-haired_pointer,Class_n02100583-vizsla,Class_n02100735-English_setter,Class_n02100877-Irish_setter,Class_n02101006-Gordon_setter,Class_n02101388-Brittany_spaniel,Class_n02101556-clumber,Class_n02102040-English_springer,Class_n02102177-Welsh_springer_spaniel,Class_n02102318-cocker_spaniel,Class_n02102480-Sussex_spaniel,Class_n02102973-Irish_water_spaniel,Class_n02104029-kuvasz,Class_n02104365-schipperke,Class_n02105056-groenendael,Class_n02105162-malinois,Class_n02105251-briard,Class_n02105412-kelpie,Class_n02105505-komondor,Class_n02105641-Old_English_sheepdog,Class_n02105855-Shetland_sheepdog,Class_n02106030-collie,Class_n02106166-Border_collie,Class_n02106382-Bouvier_des_Flandres,Class_n02106550-Rottweiler,Class_n02106662-German_shepherd,Class_n02107142-Doberman,Class_n02107312-miniature_pinscher,Class_n02107574-Greater_Swiss_Mountain_dog,Class_n02107683-Bernese_mountain_dog,Class_n02107908-Appenzeller,Class_n02108000-EntleBucher,Class_n02108089-boxer,Class_n02108422-bull_mastiff,Class_n02108551-Tibetan_mastiff,Class_n02108915-French_bulldog,Class_n02109047-Great_Dane,Class_n02109525-Saint_Bernard,Class_n02109961-Eskimo_dog,Class_n02110063-malamute,Class_n02110185-Siberian_husky,Class_n02110627-affenpinscher,Class_n02110806-basenji,Class_n02110958-pug,Class_n02111129-Leonberg,Class_n02111277-Newfoundland,Class_n02111500-Great_Pyrenees,Class_n02111889-Samoyed,Class_n02112018-Pomeranian,Class_n02112137-chow,Class_n02112350-keeshond,Class_n02112706-Brabancon_griffon,Class_n02113023-Pembroke,Class_n02113186-Cardigan,Class_n02113624-toy_poodle,Class_n02113712-miniature_poodle,Class_n02113799-standard_poodle,Class_n02113978-Mexican_hairless,Class_n02115641-dingo,Class_n02115913-dhole,Class_n02116738-African_hunting_dog
0.0,0.5488180406836332,0.38113455083519887,0.6158104853320467,0.6184658966290746,0.5446132534140955,0.4767080664539355,0.5223213110891916,0.6958330431486536,0.6198341372730528,0.45877029114871776,0.4576583990609627,0.5711415408763514,0.5221493423641411,0.47871457407476053,0.5312813075988958,0.6872232059890959,0.6337091642502637,0.8589338126225412,0.5108366897512981,0.5384383574838993,0.5164020670275192,0.48431673358801086,0.41260857527569483,0.5525520872649061,0.4205474199509386,0.6569621885084946,0.43894676714967157,0.5488595576974274,0.6377127343097818,0.5741570390489112,0.6635742101172982,0.6706227446696476,0.42023837392932306,0.45161239346466403,0.5301162524893349,0.6314467532120464,0.5213502675088573,0.6376200250851132,0.6817685882005871,0.5809788863089199,0.6851861990681133,0.6497017822158169,0.44548969796955334,0.6472560813743404,0.5380619455780965,0.5503730851854731,0.5729432217265151,0.6088865785029596,0.3681950699082971,0.7145816185681217,0.6840198403055444,0.5197346336834718,0.35632218238602353,0.403390691450105,0.6228808426788223,0.5638257888049599,0.574093557647626,0.5368550050100644,0.4970366566998372,0.4200556702777726,0.39922443444945627,0.4319559429245472,0.5654776727348769,0.45373451097976647,0.5608981722986887,0.5002695152813643,0.49470266652458783,0.6335363888797565,0.3718584482824891,0.5251595425645172,0.44380927101891166,0.6620740452541187,0.6471459481642541,0.6388747805737205,0.6216953951923931,0.5464109618137074,0.6097246512607211,0.3794539651304777,0.5111905318301484,0.5938951501753392,0.5492469029269444,0.6136736048516972,0.6540105389508132,0.5402974604494307,0.5787332401540685,0.5622296689657225,0.5645827619756079,0.47345217226261627,0.6216017297841041,0.46010564146845734,0.46924732902065863,0.5975864900130057,0.5124719736312995,0.5396016174226487,0.6625100089439098,0.5657639207394282,0.5345484464455629,0.7862380059658528,0.5022535851763616,0.2595616801113327,0.3746771679381919,0.7265713947276461,0.6456423309765446,0.4651459692311756,0.4231169754359804,0.549164374705941,0.3432740299019266,0.4662295691271649,0.6860549256899913,0.7765912598934219,0.501609203458728,0.6611640509471166,0.5095737574963226,0.457717376491499,0.7655406212382989,0.44326111143524516,0.6743917572284169,0.5700505524147783,0.5654868471438552,0.3574298557339454,0.5418017329815834
0.01,0.5822142068939083,0.4066533924940231,0.6237971249253765,0.6222280326071996,0.5786176071196475,0.4813078988900198,0.5527522091060971,0.7815001005534593,0.6424527796148825,0.42988774871450197,0.462048655160066,0.5847286887838795,0.5879411813031823,0.5088236882735905,0.5273496935516582,0.7070242698329969,0.6541361039985885,0.8682597867299693,0.5526683996386792,0.5855393471183455,0.5244773361186558,0.49680937961061195,0.4554422703619889,0.5735817941764403,0.4697862157596592,0.6724936766904124,0.5001070643240593,0.5804531123775957,0.6141620474307941,0.6059808359073251,0.6931764693007163,0.6905240140168469,0.488341118777313,0.4765426488275222,0.5918573098014627,0.7316745512986932,0.5859899972101558,0.6817872510888963,0.6930660016623547,0.5976188298673224,0.7204193035992447,0.6794147650112524,0.48231925264045683,0.690105553897894,0.5676525107127526,0.5825583084014785,0.5939691163010263,0.6167486205800546,0.392070431196058,0.733002181554935,0.7020263635029332,0.5927764554998511,0.3642095257431765,0.4267284400270742,0.6417070199149895,0.6238347270818914,0.6175774015961781,0.5476642645540635,0.5275804291446728,0.4439840767053852,0.4619420405837299,0.5010320623601111,0.6124735609852,0.5559083404533819,0.6019796913655875,0.5570278666338727,0.5139459316737112,0.7020527578774611,0.44690592756539144,0.5628922236580348,0.4864927516148298,0.6620740452541187,0.657633478712901,0.6785021853912218,0.6456285201789211,0.6145165586099844,0.6435698878122789,0.40503038482198184,0.5345768828375903,0.6416672751433088,0.5564438234367481,0.6425179269409869,0.6778306753183528,0.5786713449216437,0.6028110196179066,0.6003093667545354,0.6110441061674068,0.5138951516026757,0.670397321629513,0.5186228993722501,0.5260138105878677,0.6625639314424848,0.5750237094297719,0.5923302748660534,0.6785136365765297,0.6202262170297188,0.5519791609628892,0.7594623208344918,0.557338133162867,0.26669237226326936,0.4275598731405961,0.7429550533806684,0.6842394954674348,0.49038072779323694,0.43735735088117994,0.5767243906552665,0.36605796177713895,0.5043835031511825,0.717646488074327,0.8228960468682119,0.5757041905443943,0.6862167252900488,0.5493010388289393,0.5170863010385534,0.7997945284409452,0.4497179764046332,0.7246186758228009,0.5825880793659011,0.6045500645742007,0.36983988623515573,0.5596095123922505
0.02,0.6032145785438982,0.4973762086715472,0.6362005615958737,0.6215064254692653,0.6241703049079096,0.49172850459321005,0.5815914247350983,0.7596669438217227,0.6755313217719436,0.45209362604228315,0.48791176835688754,0.5585790802617743,0.6217345331531587,0.5437384998250372,0.5541574520003136,0.7256643423353412,0.6275789105371089,0.8591674561578996,0.5692801113057034,0.5936861142218801,0.5537291431345132,0.5531981712594772,0.5295715056709555,0.6430462694284615,0.47549330107428467,0.7083359188692808,0.5174860955505857,0.6085203936685335,0.5992475542451894,0.6256290396834915,0.7074820228442761,0.7104001878349633,0.5015525383368542,0.5113394910634976,0.6339627127215868,0.751501338172484,0.5790403903321775,0.6972943836273595,0.7206163419874269,0.6274965349793978,0.7489875058872603,0.6970601302418187,0.5678879128192715,0.7059961391483328,0.5970309393785194,0.5735161046075059,0.6112105027390358,0.62262592870387,0.42587044529244295,0.7361716623770349,0.7355250550702956,0.6244169363030658,0.39856673849653934,0.4569058925005865,0.6621999003851993,0.6084329764478329,0.6191999072039771,0.5738064792124729,0.5401639771955387,0.4587355248448227,0.49623499401475274,0.5188024217467799,0.6093860559861145,0.5756236428512554,0.6402334164898728,0.5804988268417174,0.5525917612248893,0.7211647292581127,0.4950691330654993,0.5987368548063898,0.5310588692785402,0.6652045008203366,0.6743621587869172,0.6989058435228439,0.6595107146964398,0.6320392593070108,0.6462417005979771,0.42183497959737154,0.5488259531990235,0.6701751580466035,0.5439126439856168,0.6592432916717617,0.6779386348441454,0.6010897026889259,0.6219799115109783,0.5800048135581473,0.6539370765846709,0.5463020454307097,0.6717346973581503,0.5810968854715926,0.5495426468877611,0.6703044570444378,0.6345128880116595,0.5971109066981068,0.7123387616246939,0.6453248554240524,0.5861869908385668,0.7164061483257008,0.6022156425536181,0.29483954269127033,0.4458675526691784,0.7722059690206604,0.6867843829904656,0.5041917064457812,0.5088371821723451,0.6102768592619354,0.42187752881264673,0.5632279505079889,0.700232138400567,0.8014294918442737,0.6021926469379222,0.7242679743707277,0.5147724314087772,0.5450787597844682,0.785462332564028,0.4810109542481683,0.7041220240874833,0.6627910532052618,0.5941815367757288,0.39734851244138286,0.5764493368707873
0.03,0.6085684742042298,0.4794646653280449,0.6295556494395413,0.6256276226981193,0.6518105058787336,0.4915959116458482,0.5847559733728789,0.7397104996609054,0.6728270212773888,0.440291899589692,0.5007820153000271,0.5340934970044192,0.6029319915376454,0.5815949871793855,0.5606761979643584,0.7193816693601632,0.6233215906878782,0.8386314496569524,0.5852007500259193,0.6213278987795408,0.5653039590023671,0.5677808874523027,0.573967585924231,0.6916667106052097,0.47015096541427803,0.7221845169221349,0.5321428439764438,0.6335644247545609,0.5869230233958278,0.6227102571415456,0.7090776786298808,0.7241224188434455,0.47947395290731115,0.554266120472081,0.6488852140214142,0.7260294227893498,0.5861781216449803,0.6818460654674787,0.7165378205471423,0.6297526616313214,0.7601184066574396,0.7060240192802225,0.5704269354563308,0.709445445972397,0.6165291151327444,0.5850608536821543,0.6107530047951647,0.6499817006776838,0.4529519954026532,0.7245201051384107,0.7209003538216474,0.6411501814252525,0.461360581105766,0.4632876212145159,0.6699377013665995,0.600718908148747,0.6288767138159235,0.5508213529468665,0.5392327347290935,0.4918491319999834,0.5319829618685609,0.5489024488744078,0.5940871701878578,0.5775667406643891,0.6476090440415015,0.5731878920522393,0.5979453580846987,0.6989886564801967,0.46701642465229487,0.6440553394582464,0.5574522681154007,0.6763688086890629,0.6900585473062953,0.707509693017524,0.6647878883935959,0.6074158437666647,0.6410231745514456,0.4458622556357394,0.5624423742788018,0.6522823838597758,0.5314045512647675,0.6705359771957256,0.6470483345325351,0.615788657688958,0.6204401192021197,0.5589225046496157,0.6601220698751193,0.5714864208235261,0.662613449436143,0.6379381028893631,0.54647445107942,0.6858412775856515,0.6170471326791735,0.5842874645255373,0.7340298580127465,0.6456306994860425,0.6080388916501223,0.6945190465887722,0.5895612704232773,0.3256950323319725,0.4433523996730365,0.7750861733694763,0.7022544276676557,0.5185372785088038,0.5289190395927815,0.6299077015742849,0.4513735299925884,0.5666018615629111,0.6823694960495332,0.7504992597322921,0.6431880158597248,0.714839485958855,0.49337506530647823,0.5357965850097826,0.764809499275571,0.4932962928955823,0.6963711106574931,0.6654106374191855,0.5902203534857363,0.41833953870588936,0.6096052556102747
0.04,0.6068931829559973,0.4720368164971413,0.6199387442789779,0.6093887411608776,0.6455877076298575,0.514957040189123,0.5732689357402825,0.7045203271328045,0.6685410109885878,0.4358677929075898,0.5163717833164532,0.5296503262599245,0.6102990015408165,0.5701358294742095,0.5603123638286255,0.7140172876849282,0.6085441459983387,0.8092076846565369,0.5692427404416944,0.617841103628894,0.5763491728989881,0.5287192974239225,0.5909007383407672,0.712985442893966,0.4728123440816138,0.748330256956517,0.5099586723970966,0.6550170141081982,0.5614461156273206,0.6181162374551995,0.7004155200532566,0.720946825542747,0.4669008221750729,0.5838443124472322,0.6643734814826987,0.6865281104941461,0.5970620328596644,0.6416373925111412,0.7238129306369769,0.6582468607914185,0.7716594798517769,0.7013436453091965,0.5610893611806207,0.7149504921631327,0.5825740312521724,0.6174783844322758,0.6305502879093796,0.6585295229758044,0.477731765419893,0.7073884294148065,0.7141209145752735,0.6355707796554605,0.4902080382980709,0.4377000035498053,0.6957912073158344,0.5991056366142982,0.6514621614744438,0.5125959675593849,0.5500398181469716,0.4918157842906809,0.5457883100885781,0.5427220811734867,0.5915842705891651,0.5692887021352874,0.6549025383525625,0.5725128764577156,0.6006633180929607,0.716118796186016,0.46170266728437415,0.6544717412153609,0.577606705371967,0.6854434133807872,0.7019435518926269,0.7350521775661144,0.6695248480528345,0.593887169933997,0.6472933452544111,0.42992531552829416,0.5711661002464957,0.6340855613125876,0.5262687215557313,0.657707581776999,0.6326784876443855,0.6305370020548996,0.5728148360357928,0.5836303854941731,0.6591381248405895,0.5753495631805637,0.6649760856215257,0.6471730392019268,0.5241713893937324,0.6899015089598699,0.5989318508609303,0.6002491150119273,0.7300157437063278,0.6350028580136933,0.627239090591255,0.6475091821034166,0.5689644737871746,0.36877653279775935,0.4377916546355733,0.7660702571724702,0.6700744940471359,0.4917128232452245,0.5373454448165716,0.6366483868998973,0.48067790583926023,0.5513183498589006,0.6663009338384647,0.6847091523878587,0.6508640624115659,0.7169811660495606,0.4779047095498584,0.5409114316907676,0.7606170729219974,0.5135109695137424,0.6914331554247595,0.6592241838857951,0.5708888279314877,0.43054100745241974,0.6250982264751769
0.05,0.6025041853838263,0.47307985420789167,0.6068143132616719,0.6046405888924835,0.6372702324322514,0.5025604846194556,0.5565297678821752,0.6760233954903232,0.6626890381431932,0.41840495156903,0.5314826928457893,0.5089217696152054,0.6053314912484732,0.5940458018334459,0.5632607826959002,0.7029266264240379,0.6052409083329138,0.7672768396916265,0.5114716538115117,0.6271207605079915,0.5829678498686884,0.5329126024245717,0.5905367502866106,0.7172233545501104,0.4732805053369272,0.722563838529482,0.5162336555838791,0.6580045420927167,0.5449825978699493,0.6273521384969485,0.6953061273367743,0.7232257453003854,0.451411352593451,0.5987001574910842,0.6635415340504712,0.6651668062581535,0.5849073978767108,0.5921003392518762,0.7104654208435587,0.6574559805526097,0.7644090142600024,0.6909876379264573,0.5505430923251735,0.7120898262607357,0.5867612133049926,0.6140901818843458,0.6195320957749709,0.6594357442058648,0.4797963836337621,0.6798632792286731,0.7070540366350619,0.6263514654859565,0.5227239524598801,0.4371073128567414,0.666366553646224,0.593237930455675,0.662667610435672,0.5089648250321471,0.5326554103867152,0.5045030874947682,0.5552770577547167,0.5391989227392626,0.6108727891646584,0.5728436259607103,0.6511585843341903,0.5606367031690112,0.5838619063663462,0.7174756901803904,0.4662179457252803,0.6441158779314178,0.603097325478233,0.6896881085201441,0.7042462951577051,0.7140846770692428,0.6710552229497806,0.5862486501196205,0.6400410395143353,0.4330704317788956,0.584872029874256,0.6161675073479435,0.5497728071672363,0.670421708365255,0.6109601789337873,0.6462764062914338,0.5703735166745069,0.5795359555476967,0.6581893117157284,0.5694656525218095,0.6583641871295869,0.6355267085044323,0.5232837690978355,0.6987501288338713,0.5926384262087069,0.5923608741688424,0.7199482817064912,0.6187025096606866,0.6551829829033833,0.6180073022609942,0.5529341980236641,0.38116053212155254,0.44737418297994197,0.7561121834959433,0.6515628236641248,0.48964762889226465,0.5452051046541633,0.6429161994867292,0.5014157582663861,0.5463734453096804,0.6509743146281062,0.6542452241204503,0.6602261615389259,0.6978204319922344,0.46595609772701935,0.5294235013902611,0.7416981372504445,0.5301209512362467,0.6892002732679127,0.6690951833336759,0.5366356027585747,0.44926981902838115,0.6165720882698993
0.06,0.595600139001516,0.47460979338806053,0.5953136308408131,0.5833182222020842,0.6060754750104347,0.48240127766953106,0.5439786978781663,0.6419632326818872,0.6549502722717944,0.4054941927720157,0.5511828928068692,0.5009763808042149,0.6014748344048432,0.5975506716761181,0.5706170461365786,0.6914094802642718,0.5830014424624121,0.7433289491510399,0.486881309473568,0.6339527749635268,0.5894659466564409,0.539083672494953,0.5966819149169822,0.718272487134988,0.4812918386162822,0.7238401538689238,0.5131832312837163,0.6489505794962621,0.5295440486053515,0.621927859799493,0.6807627176537937,0.7199420637474399,0.4544088705847534,0.6117403448996119,0.6629202188028268,0.6357630206731386,0.561709167650475,0.5916197862415915,0.6985089101196352,0.6480475255657876,0.7731040129392321,0.6798674926313495,0.5337495282861179,0.6986754650568677,0.574162942952687,0.6155795311029537,0.5985679351609748,0.6615039841478528,0.4868402221747816,0.6745690807327942,0.6778510690955017,0.6201310188964355,0.5286151160337453,0.43057811794837636,0.6478258395501528,0.5925926708510244,0.685592126502967,0.4971453276708697,0.5149721729843371,0.5058780546293472,0.5600054902797479,0.5214344657418416,0.6064682806927623,0.5717299063315538,0.6438305114045795,0.5536092070273904,0.5586314559513228,0.7013846913781583,0.47687556229275535,0.6433997690911035,0.6098154027679925,0.6926216180331333,0.7102064180840938,0.7114740519620475,0.6640784796630043,0.5726316942778771,0.6352178297929467,0.43812303855548446,0.5809239139914497,0.586946504547659,0.5311281777625911,0.6653714191156425,0.6026823040212144,0.6564206961364906,0.5658855837454657,0.5924802400508661,0.6541406998098274,0.567691092345217,0.635223096179655,0.614852361540023,0.5119096266948449,0.6990031289983272,0.5710095276150926,0.5868632750324679,0.7056421351701327,0.6094094108637358,0.6723136390887736,0.5841172801885793,0.544563054202619,0.38800399649328565,0.4547001560336882,0.7461835995767196,0.6375450081096743,0.48215824516700084,0.5516353326950292,0.6487876058108937,0.5141097190392466,0.5363463904018576,0.6357844707561787,0.6160689413963937,0.6530277564201825,0.6855329202181206,0.46027649291971084,0.5146687610139347,0.6992267323295668,0.5374833094981455,0.6513345383845709,0.6684521222772711,0.50956486970326,0.47285364107808237,0.6242103854115827
0.07,0.5882711938836677,0.47969007351721604,0.5853398726227567,0.5677056538173029,0.5662598517241855,0.4755173418901899,0.5320627748519294,0.6208434711978255,0.6441275995322006,0.39633404063147015,0.5587961149512827,0.48851101955097265,0.5916483206685814,0.5901777534831214,0.5621085904877061,0.691141840517649,0.5651703798518325,0.7285731012453309,0.47443367034997364,0.6327024101311423,0.5970189923133536,0.5273361075942711,0.5997310444086384,0.7174174375142828,0.49731146840023727,0.7277680959266345,0.4964661310146128,0.6533405871973051,0.5167892983428528,0.6210445579352835,0.6626821102516692,0.73519132399281,0.44487638195218127,0.6136316675762421,0.668831201432264,0.5988679265128493,0.5441958796266264,0.5511554673216735,0.6874116669310422,0.6293842463091306,0.7761768477604954,0.6752547921145042,0.5232742034270463,0.680865896635058,0.5621504686964546,0.6131537823468597,0.5959986090483392,0.6715625526081339,0.48965207333841754,0.6565394562204452,0.6734245427224008,0.614195987262525,0.5282586714075322,0.4216148905728616,0.6113967326061016,0.5862137573599109,0.6974390902265825,0.49434814202490635,0.510729147293724,0.5161135581025624,0.5723749574135921,0.5118089183364632,0.5919975946406623,0.5626903956251834,0.6470324105196517,0.5450184940843718,0.5461265891488702,0.6916375768059353,0.47886693652067425,0.6425942685731464,0.5995311825968306,0.6865058718868761,0.706991660666405,0.7071925419482324,0.6573086064199078,0.5552804989633656,0.6394767219837798,0.44710578165547804,0.5852508028483928,0.5598522655081684,0.5234262979008362,0.6638152249968753,0.5863845182620369,0.6607680128282853,0.5607079710502305,0.583527157692235,0.6469425051721932,0.5561755918749094,0.6270030435578416,0.5949846599819011,0.5134248141317328,0.6987648232797781,0.5612066466301129,0.5751921580607389,0.6919844438275835,0.5988977983774378,0.6742811866597418,0.540539075513238,0.5286765074670929,0.3821319831001591,0.45651491494720187,0.7256888690185661,0.6040407280801763,0.495315245474638,0.5624069387066896,0.6452315310485193,0.5318489670118325,0.5270547562629067,0.6160099004719254,0.5927916926769559,0.648749031004955,0.6627775535868532,0.45815422021327346,0.4992003493757487,0.6702744398338412,0.5486175016576668,0.6363905911638083,0.6725704320488892,0.486139739300589,0.4794067982141851,0.6299218940784523
0.08,0.577078956925941,0.47719990414930197,0.5777508466567893,0.5571951914621144,0.53281850337691,0.4774464170489872,0.5072744513406682,0.5998225400105157,0.6398862872845712,0.38956386924022973,0.5702199606638818,0.48044279225339775,0.5819861238189673,0.5786109298890743,0.5621907389876984,0.6930025632898577,0.5504630784069331,0.7169872266190163,0.46376007904595423,0.6327769799488939,0.6060546189248913,0.4905903519850006,0.6002651224940134,0.7096365360662109,0.48767011455329456,0.7168195015422267,0.48310605481713126,0.6315725005157782,0.48861753949248615,0.6047062103368781,0.6533260266376397,0.7166678417039003,0.4430491393370743,0.6146310583228511,0.6680770126172735,0.5776314131960516,0.5234942556879925,0.5068418614116951,0.6578184664490803,0.6053438804482398,0.7651634897867713,0.6495661717466927,0.5161016100388082,0.6507294807339777,0.5488198408840388,0.6096631131981807,0.5879176784672111,0.6729317308328239,0.4857876535995868,0.6352703858783776,0.66160951068278,0.6030652981793456,0.5280565071237011,0.4187544312499079,0.5989724589681543,0.5831585946084741,0.7026965953214089,0.48766452827559387,0.5004267819891255,0.5032550722847702,0.5729696535193585,0.5108877228292728,0.5715628101281602,0.5687359242165073,0.6462919070140429,0.5312953019081705,0.5367406118933495,0.6725621353469554,0.4490422473367014,0.6385870615936494,0.5880401679184516,0.6901242629215082,0.6862919511503216,0.6903478407292364,0.6430205977996402,0.532605634900173,0.6334331773688469,0.44402385669479666,0.5909212175754854,0.5409221847250614,0.5126817136582384,0.6280255357021078,0.5757868608805212,0.6755175584651821,0.5438770120490245,0.5663091298753271,0.6392528477718311,0.5400054866032603,0.5962318732682093,0.5830934728895109,0.49992856440502376,0.6922241415642579,0.5536162339332108,0.5652901885791458,0.6763157957085225,0.5857396561243224,0.6737591771842923,0.5071596313719213,0.5145492542147924,0.3865949080002811,0.45373982456223655,0.6926702954562538,0.5729770208196412,0.49627586566295373,0.5640413617753797,0.6475563420897241,0.5281563965151188,0.5172747590596953,0.5956357384228697,0.5488009951789523,0.643563429655238,0.6586117320392495,0.448648463545753,0.4841957131466398,0.6462971610814437,0.5522894329336883,0.6256223976460026,0.6569718973899115,0.4621072290789452,0.49070750303964605,0.624037038311706
0.09,0.5695442961965415,0.47409640338925085,0.5715375193740988,0.5461497931334867,0.5021035678646921,0.4697717264397319,0.49498747553825045,0.5742849393535838,0.6338428712612335,0.3824497914437025,0.5833757395722378,0.47398644853982963,0.5795083169800683,0.5817000947500002,0.5504205129526119,0.6777078188816232,0.5394610497068559,0.700908778779746,0.4628638166159528,0.6329430124776795,0.6177930511017283,0.517256011754031,0.5966561227238896,0.6996183594399737,0.48305086830540417,0.708370524545852,0.4799711181200853,0.6280361964732548,0.4781217012099452,0.5939890179649152,0.639398626601509,0.6968192175800776,0.4378907982551078,0.6095787636743422,0.6438358684198887,0.5602561866471583,0.5085107642903401,0.49135203419879614,0.6481116033325934,0.5948620112027081,0.7644037926983849,0.6368355323754986,0.5156817039749741,0.6093677867469932,0.5379388622736486,0.6030091690949333,0.5736836125754274,0.6748211470129923,0.48225264197161016,0.6154462195013547,0.6519217821163277,0.5968144426468031,0.524193835674808,0.4160933680217097,0.5808841671451438,0.5962115546895732,0.7300203449768441,0.4814160859674369,0.4885118540905837,0.4999450367284636,0.5986910216998743,0.509951709568679,0.5632446723058694,0.5738688357446196,0.6400379206603894,0.5232875975762188,0.5272328468674176,0.657795489365606,0.44477812325263527,0.6329723548216302,0.5786110105856619,0.6887585482017621,0.6771792520294848,0.6782196414399815,0.633566058535944,0.5134976776672908,0.6112687839901524,0.440792765719458,0.6036448611796714,0.5269061791942706,0.5066566068809462,0.5958935053366445,0.565731255662725,0.6766591733481906,0.5356347824684512,0.5494528686972113,0.6395594345360627,0.5193167710392015,0.5894732482135657,0.581175754888091,0.5083481569206282,0.6903142982702957,0.5440235708142064,0.5585822933161652,0.664899805898039,0.5662890051506151,0.6775570962200756,0.4892368938444848,0.5116995462378957,0.38743350435114915,0.45191183480339364,0.6759886826394844,0.553559217923444,0.49541903262757303,0.5665314050256072,0.6529542944830309,0.5241494688272013,0.5087173904871014,0.58414454812206,0.5308600500915105,0.6402556405254985,0.6411091277866404,0.44264128573108785,0.4692715264377044,0.6070440512987726,0.5527913850871641,0.6130437052271188,0.647701025432007,0.43758197683408556,0.5001696309439645,0.6221958775695229
